idno	group
CS0036_1878_Arbes_Newtonuv-mozek	T2_1860-79
CS0037_1878_Podlipska_Nalzovsky	T2_1860-79
CS0029_1868_Svetla_Kriz-u-potoka	T2_1860-79
CS0010_1860_Sabina_Jen-tri-leta	T2_1860-79
CS0012_1867_Chocholousek_Templari-v-Cechach	T2_1860-79
CS0014_1870_Vlcek_Pani-Lichnicka	T2_1860-79
CS0035_1876_Svetla_Cerny-petricek	T2_1860-79
CS0030_1869_Hruby-Bradelsky_Bratri-smrti	T2_1860-79
CS0017_1878_Stasek_Nedokonceny-obraz	T2_1860-79
CS0031_1870_Sabina_Ozivene-hroby	T2_1860-79
CS0015_1874_Vavra_Ratmir	T2_1860-79
CS0033_1873_Svetla_Nemodlenec	T2_1860-79
CS0038_1878_Stroupeznicky_Cavani	T2_1860-79
CS0028_1866_Krousky_Bratri-z-kalichu	T2_1860-79
CS0011_1864_Svestka_Posledni-vecer-v-roce	T2_1860-79
CS0016_1875_Jirasek_Skalaci	T2_1860-79
CS0013_1867_Mollenda_Vecer-svatojansky	T2_1860-79
CS0039_1879_Klicpera_Bitva-u-Lipan	T2_1860-79
CS0032_1872_Stankovsky_Kral-a-biskup	T2_1860-79
CS0009_1860_Formanek-Cinovesky_Smirena-vina	T2_1860-79
CS0097_1901_Javornik_Svaty-Hostyn	T4_1900-20
CS0072_1902_Benes-Sumavsky_Otrokar	T4_1900-20
CS0095_1920_Hasek_Osudy-dobreho-vojaka-Svejka	T4_1900-20
CS0075_1906_Necasek_Jarmo-millionu	T4_1900-20
CS0084_1914_Cervinka_Rusalka	T4_1900-20
CS0082_1912_Salda_Zivot-ironicky	T4_1900-20
CS0091_1917_Salda_Loutky-i-delnici-bozi	T4_1900-20
CS0092_1918_Herrmann_Vdavky-Nanynky-Kulichovy	T4_1900-20
CS0099_1909_Kopal_Apostol-trhanu	T4_1900-20
CS0081_1912_Ladecky_Na-tichem-venkove	T4_1900-20
CS0094_1918_Vlasakova_Myslivcova-dceruska	T4_1900-20
CS0098_1904_Vlcek_Golgota-i-Tabor	T4_1900-20
CS0077_1908_Malirova_Pravo-na-stesti	T4_1900-20
CS0089_1916_Chocholousek_Karel-IV-a-rimsky-tribun-lidu	T4_1900-20
CS0096_1900_Filip_Markyza-s-trojim-srdcem	T4_1900-20
CS0087_1915_Smilovsky_Parnassie	T4_1900-20
CS0076_1908_Baar_Jan-Cimbura	T4_1900-20
CS0100_1914_Baar_K-bohu	T4_1900-20
CS0093_1918_Klecanda_Pravo-mladi	T4_1900-20
CS0085_1915_Dyk_Krysar	T4_1900-20
