N	classifier	measure	f1_macro_mean	f1_macro_var	F1
10	LinearSVC	Zeta_orig	0.7630796864042464	0.02093564715870554	0.9506072874493927
10	LinearSVC	Zeta_orig	0.7630796864042464	0.02093564715870554	0.8498769483182937
10	LinearSVC	Zeta_orig	0.7630796864042464	0.02093564715870554	0.9014008620689655
10	LinearSVC	Zeta_orig	0.7630796864042464	0.02093564715870554	0.45425685425685425
10	LinearSVC	Zeta_orig	0.7630796864042464	0.02093564715870554	0.7689393939393938
10	LinearSVC	Zeta_orig	0.7630796864042464	0.02093564715870554	0.900326797385621
10	LinearSVC	Zeta_orig	0.7630796864042464	0.02093564715870554	0.7997775305895439
10	LinearSVC	Zeta_orig	0.7630796864042464	0.02093564715870554	0.7101449275362319
10	LinearSVC	Zeta_orig	0.7630796864042464	0.02093564715870554	0.6122209165687427
10	LinearSVC	Zeta_orig	0.7630796864042464	0.02093564715870554	0.6832453459294249
20	LinearSVC	Zeta_orig	0.824028958276562	0.011237639516656569	1.0
20	LinearSVC	Zeta_orig	0.824028958276562	0.011237639516656569	0.8146920740127037
20	LinearSVC	Zeta_orig	0.824028958276562	0.011237639516656569	0.9016129032258065
20	LinearSVC	Zeta_orig	0.824028958276562	0.011237639516656569	0.5978021978021978
20	LinearSVC	Zeta_orig	0.824028958276562	0.011237639516656569	0.7370689655172413
20	LinearSVC	Zeta_orig	0.824028958276562	0.011237639516656569	0.8032258064516129
20	LinearSVC	Zeta_orig	0.824028958276562	0.011237639516656569	0.9164578111946533
20	LinearSVC	Zeta_orig	0.824028958276562	0.011237639516656569	0.8263888888888888
20	LinearSVC	Zeta_orig	0.824028958276562	0.011237639516656569	0.76
20	LinearSVC	Zeta_orig	0.824028958276562	0.011237639516656569	0.8830409356725146
30	LinearSVC	Zeta_orig	0.7939413634123957	0.012882394490818721	1.0
30	LinearSVC	Zeta_orig	0.7939413634123957	0.012882394490818721	0.8146920740127037
30	LinearSVC	Zeta_orig	0.7939413634123957	0.012882394490818721	0.8852459016393444
30	LinearSVC	Zeta_orig	0.7939413634123957	0.012882394490818721	0.6163522012578617
30	LinearSVC	Zeta_orig	0.7939413634123957	0.012882394490818721	0.7866559052999731
30	LinearSVC	Zeta_orig	0.7939413634123957	0.012882394490818721	0.7674291938997821
30	LinearSVC	Zeta_orig	0.7939413634123957	0.012882394490818721	0.9166435120866907
30	LinearSVC	Zeta_orig	0.7939413634123957	0.012882394490818721	0.7757976430008623
30	LinearSVC	Zeta_orig	0.7939413634123957	0.012882394490818721	0.6266666666666667
30	LinearSVC	Zeta_orig	0.7939413634123957	0.012882394490818721	0.7499305362600722
40	LinearSVC	Zeta_orig	0.7668383665223307	0.010206473104609525	0.9507667473769169
40	LinearSVC	Zeta_orig	0.7668383665223307	0.010206473104609525	0.7966666666666666
40	LinearSVC	Zeta_orig	0.7668383665223307	0.010206473104609525	0.8194780737153617
40	LinearSVC	Zeta_orig	0.7668383665223307	0.010206473104609525	0.6163522012578617
40	LinearSVC	Zeta_orig	0.7668383665223307	0.010206473104609525	0.7866559052999732
40	LinearSVC	Zeta_orig	0.7668383665223307	0.010206473104609525	0.6565315315315314
40	LinearSVC	Zeta_orig	0.7668383665223307	0.010206473104609525	0.8653198653198653
40	LinearSVC	Zeta_orig	0.7668383665223307	0.010206473104609525	0.8124467178175618
40	LinearSVC	Zeta_orig	0.7668383665223307	0.010206473104609525	0.6419437340153453
40	LinearSVC	Zeta_orig	0.7668383665223307	0.010206473104609525	0.7222222222222222
50	LinearSVC	Zeta_orig	0.7648112795085598	0.012085625405921936	0.9339826839826839
50	LinearSVC	Zeta_orig	0.7648112795085598	0.012085625405921936	0.7783058428850993
50	LinearSVC	Zeta_orig	0.7648112795085598	0.012085625405921936	0.8851224105461394
50	LinearSVC	Zeta_orig	0.7648112795085598	0.012085625405921936	0.5788456227561447
50	LinearSVC	Zeta_orig	0.7648112795085598	0.012085625405921936	0.654251012145749
50	LinearSVC	Zeta_orig	0.7648112795085598	0.012085625405921936	0.7288888888888889
50	LinearSVC	Zeta_orig	0.7648112795085598	0.012085625405921936	0.899888765294772
50	LinearSVC	Zeta_orig	0.7648112795085598	0.012085625405921936	0.7942857142857143
50	LinearSVC	Zeta_orig	0.7648112795085598	0.012085625405921936	0.6723196320781835
50	LinearSVC	Zeta_orig	0.7648112795085598	0.012085625405921936	0.7222222222222222
100	LinearSVC	Zeta_orig	0.8448379731089053	0.005643342004437637	1.0
100	LinearSVC	Zeta_orig	0.8448379731089053	0.005643342004437637	0.7627777777777778
100	LinearSVC	Zeta_orig	0.8448379731089053	0.005643342004437637	0.9016129032258065
100	LinearSVC	Zeta_orig	0.8448379731089053	0.005643342004437637	0.7210115684691957
100	LinearSVC	Zeta_orig	0.8448379731089053	0.005643342004437637	0.8165162701668034
100	LinearSVC	Zeta_orig	0.8448379731089053	0.005643342004437637	0.867965367965368
100	LinearSVC	Zeta_orig	0.8448379731089053	0.005643342004437637	0.8499583217560434
100	LinearSVC	Zeta_orig	0.8448379731089053	0.005643342004437637	0.8806479113384483
100	LinearSVC	Zeta_orig	0.8448379731089053	0.005643342004437637	0.8660714285714286
100	LinearSVC	Zeta_orig	0.8448379731089053	0.005643342004437637	0.7818181818181817
200	LinearSVC	Zeta_orig	0.8772348199657726	0.008251667491073585	1.0
