N	classifier	measure	f1_macro_mean	f1_macro_var	F1
10	LinearSVC	Zeta_orig	0.868431905134124	0.0040021268181322026	0.7125
10	LinearSVC	Zeta_orig	0.868431905134124	0.0040021268181322026	0.8874755381604696
10	LinearSVC	Zeta_orig	0.868431905134124	0.0040021268181322026	0.8654970760233919
10	LinearSVC	Zeta_orig	0.868431905134124	0.0040021268181322026	0.802065404475043
10	LinearSVC	Zeta_orig	0.868431905134124	0.0040021268181322026	0.8636255830500434
10	LinearSVC	Zeta_orig	0.868431905134124	0.0040021268181322026	0.8951860137542464
10	LinearSVC	Zeta_orig	0.868431905134124	0.0040021268181322026	0.8808670013546896
10	LinearSVC	Zeta_orig	0.868431905134124	0.0040021268181322026	0.9151708876321614
10	LinearSVC	Zeta_orig	0.868431905134124	0.0040021268181322026	0.926984126984127
10	LinearSVC	Zeta_orig	0.868431905134124	0.0040021268181322026	0.9349474199070678
20	LinearSVC	Zeta_orig	0.8866347858516621	0.003967033693063962	0.760914760914761
20	LinearSVC	Zeta_orig	0.8866347858516621	0.003967033693063962	0.9071382428940569
20	LinearSVC	Zeta_orig	0.8866347858516621	0.003967033693063962	0.9094202898550725
20	LinearSVC	Zeta_orig	0.8866347858516621	0.003967033693063962	0.9637681159420289
20	LinearSVC	Zeta_orig	0.8866347858516621	0.003967033693063962	0.8920525657071339
20	LinearSVC	Zeta_orig	0.8866347858516621	0.003967033693063962	0.8231373889268626
20	LinearSVC	Zeta_orig	0.8866347858516621	0.003967033693063962	0.8258825404414695
20	LinearSVC	Zeta_orig	0.8866347858516621	0.003967033693063962	0.9533468559837728
20	LinearSVC	Zeta_orig	0.8866347858516621	0.003967033693063962	0.9548701043874107
20	LinearSVC	Zeta_orig	0.8866347858516621	0.003967033693063962	0.8758169934640523
30	LinearSVC	Zeta_orig	0.8965183161556499	0.0031894628469331847	0.7641831852358169
30	LinearSVC	Zeta_orig	0.8965183161556499	0.0031894628469331847	0.9437377690802349
30	LinearSVC	Zeta_orig	0.8965183161556499	0.0031894628469331847	0.9358514622679097
30	LinearSVC	Zeta_orig	0.8965183161556499	0.0031894628469331847	0.926984126984127
30	LinearSVC	Zeta_orig	0.8965183161556499	0.0031894628469331847	0.901364522417154
30	LinearSVC	Zeta_orig	0.8965183161556499	0.0031894628469331847	0.8983200707338639
30	LinearSVC	Zeta_orig	0.8965183161556499	0.0031894628469331847	0.8380788485607009
30	LinearSVC	Zeta_orig	0.8965183161556499	0.0031894628469331847	0.9257105943152455
30	LinearSVC	Zeta_orig	0.8965183161556499	0.0031894628469331847	0.9637681159420289
30	LinearSVC	Zeta_orig	0.8965183161556499	0.0031894628469331847	0.8671844660194175
40	LinearSVC	Zeta_orig	0.8894933929460425	0.004685887502302715	0.7125
40	LinearSVC	Zeta_orig	0.8894933929460425	0.004685887502302715	0.9263764404609476
40	LinearSVC	Zeta_orig	0.8894933929460425	0.004685887502302715	0.9447823303457107
40	LinearSVC	Zeta_orig	0.8894933929460425	0.004685887502302715	0.9545418610166811
40	LinearSVC	Zeta_orig	0.8894933929460425	0.004685887502302715	0.9100438047559449
40	LinearSVC	Zeta_orig	0.8894933929460425	0.004685887502302715	0.8963199737726415
40	LinearSVC	Zeta_orig	0.8894933929460425	0.004685887502302715	0.8369565217391304
