N	classifier	measure	f1_macro_mean	f1_macro_var	F1
10	LinearSVC	Zeta_orig	0.8992626427087116	0.011694131673484742	0.9310344827586207
10	LinearSVC	Zeta_orig	0.8992626427087116	0.011694131673484742	0.8763326226012793
10	LinearSVC	Zeta_orig	0.8992626427087116	0.011694131673484742	0.982629529799341
10	LinearSVC	Zeta_orig	0.8992626427087116	0.011694131673484742	1.0
10	LinearSVC	Zeta_orig	0.8992626427087116	0.011694131673484742	0.9475113122171945
10	LinearSVC	Zeta_orig	0.8992626427087116	0.011694131673484742	0.736517719568567
10	LinearSVC	Zeta_orig	0.8992626427087116	0.011694131673484742	0.9105180533751962
10	LinearSVC	Zeta_orig	0.8992626427087116	0.011694131673484742	0.6607142857142857
10	LinearSVC	Zeta_orig	0.8992626427087116	0.011694131673484742	1.0
10	LinearSVC	Zeta_orig	0.8992626427087116	0.011694131673484742	0.9473684210526316
20	LinearSVC	Zeta_orig	0.9094427688791423	0.00854489858917328	0.9482604817127565
20	LinearSVC	Zeta_orig	0.9094427688791423	0.00854489858917328	0.8748072772124575
20	LinearSVC	Zeta_orig	0.9094427688791423	0.00854489858917328	0.982629529799341
20	LinearSVC	Zeta_orig	0.9094427688791423	0.00854489858917328	1.0
20	LinearSVC	Zeta_orig	0.9094427688791423	0.00854489858917328	0.982629529799341
20	LinearSVC	Zeta_orig	0.9094427688791423	0.00854489858917328	0.7506250000000001
20	LinearSVC	Zeta_orig	0.9094427688791423	0.00854489858917328	0.7315541601255887
20	LinearSVC	Zeta_orig	0.9094427688791423	0.00854489858917328	0.8944444444444445
20	LinearSVC	Zeta_orig	0.9094427688791423	0.00854489858917328	0.9823693164243736
20	LinearSVC	Zeta_orig	0.9094427688791423	0.00854489858917328	0.9471079492731209
30	LinearSVC	Zeta_orig	0.9253878735502722	0.010886528133414343	1.0
30	LinearSVC	Zeta_orig	0.9253878735502722	0.010886528133414343	0.9475113122171945
30	LinearSVC	Zeta_orig	0.9253878735502722	0.010886528133414343	1.0
30	LinearSVC	Zeta_orig	0.9253878735502722	0.010886528133414343	1.0
30	LinearSVC	Zeta_orig	0.9253878735502722	0.010886528133414343	0.9651442307692307
30	LinearSVC	Zeta_orig	0.9253878735502722	0.010886528133414343	0.7481060606060606
30	LinearSVC	Zeta_orig	0.9253878735502722	0.010886528133414343	0.6984126984126984
30	LinearSVC	Zeta_orig	0.9253878735502722	0.010886528133414343	0.9298029556650247
30	LinearSVC	Zeta_orig	0.9253878735502722	0.010886528133414343	1.0
30	LinearSVC	Zeta_orig	0.9253878735502722	0.010886528133414343	0.9649014778325123
40	LinearSVC	Zeta_orig	0.9331166859760259	0.009939378862695334	1.0
40	LinearSVC	Zeta_orig	0.9331166859760259	0.009939378862695334	0.982629529799341
40	LinearSVC	Zeta_orig	0.9331166859760259	0.009939378862695334	1.0
40	LinearSVC	Zeta_orig	0.9331166859760259	0.009939378862695334	1.0
40	LinearSVC	Zeta_orig	0.9331166859760259	0.009939378862695334	1.0
40	LinearSVC	Zeta_orig	0.9331166859760259	0.009939378862695334	0.7693744164332399
40	LinearSVC	Zeta_orig	0.9331166859760259	0.009939378862695334	0.7572879135276778
40	LinearSVC	Zeta_orig	0.9331166859760259	0.009939378862695334	0.8218749999999999
40	LinearSVC	Zeta_orig	0.9331166859760259	0.009939378862695334	1.0
40	LinearSVC	Zeta_orig	0.9331166859760259	0.009939378862695334	1.0
50	LinearSVC	Zeta_orig	0.9550880175756571	0.0053631268899267314	1.0
50	LinearSVC	Zeta_orig	0.9550880175756571	0.0053631268899267314	0.982629529799341
50	LinearSVC	Zeta_orig	0.9550880175756571	0.0053631268899267314	1.0
50	LinearSVC	Zeta_orig	0.9550880175756571	0.0053631268899267314	1.0
50	LinearSVC	Zeta_orig	0.9550880175756571	0.0053631268899267314	1.0
50	LinearSVC	Zeta_orig	0.9550880175756571	0.0053631268899267314	0.8031397174254318
50	LinearSVC	Zeta_orig	0.9550880175756571	0.0053631268899267314	0.8177749360613811
50	LinearSVC	Zeta_orig	0.9550880175756571	0.0053631268899267314	0.9649014778325123
50	LinearSVC	Zeta_orig	0.9550880175756571	0.0053631268899267314	1.0
50	LinearSVC	Zeta_orig	0.9550880175756571	0.0053631268899267314	0.9824345146379044
100	LinearSVC	Zeta_orig	0.9480329087072656	0.004915941129869844	0.982629529799341
100	LinearSVC	Zeta_orig	0.9480329087072656	0.004915941129869844	0.9651442307692307
100	LinearSVC	Zeta_orig	0.9480329087072656	0.004915941129869844	0.982629529799341
100	LinearSVC	Zeta_orig	0.9480329087072656	0.004915941129869844	0.9827123695976154
100	LinearSVC	Zeta_orig	0.9480329087072656	0.004915941129869844	1.0
100	LinearSVC	Zeta_orig	0.9480329087072656	0.004915941129869844	0.8218749999999999
100	LinearSVC	Zeta_orig	0.9480329087072656	0.004915941129869844	0.7980676328502416
100	LinearSVC	Zeta_orig	0.9480329087072656	0.004915941129869844	0.9649014778325123
100	LinearSVC	Zeta_orig	0.9480329087072656	0.004915941129869844	0.9823693164243736
100	LinearSVC	Zeta_orig	0.9480329087072656	0.004915941129869844	1.0
200	LinearSVC	Zeta_orig	0.9664312021626504	0.0014883489893428635	0.9651442307692307
200	LinearSVC	Zeta_orig	0.9664312021626504	0.0014883489893428635	0.982629529799341
200	LinearSVC	Zeta_orig	0.9664312021626504	0.0014883489893428635	1.0
200	LinearSVC	Zeta_orig	0.9664312021626504	0.0014883489893428635	0.9827123695976154
200	LinearSVC	Zeta_orig	0.9664312021626504	0.0014883489893428635	1.0
200	LinearSVC	Zeta_orig	0.9664312021626504	0.0014883489893428635	0.8944444444444445
200	LinearSVC	Zeta_orig	0.9664312021626504	0.0014883489893428635	0.8920454545454546
200	LinearSVC	Zeta_orig	0.9664312021626504	0.0014883489893428635	0.9649014778325123
200	LinearSVC	Zeta_orig	0.9664312021626504	0.0014883489893428635	1.0
200	LinearSVC	Zeta_orig	0.9664312021626504	0.0014883489893428635	0.9824345146379044
300	LinearSVC	Zeta_orig	0.9663222606536064	0.0015784659181869273	0.982629529799341
