N	classifier	measure	F1_macro_mean	F1_macro_var	F1
4000	LinearSVC	Zeta_orig	0.833954534312403	0.012741401845836811	1.0
4000	LinearSVC	Zeta_orig	0.833954534312403	0.012741401845836811	0.8655177493003388
4000	LinearSVC	Zeta_orig	0.833954534312403	0.012741401845836811	0.9276162790697674
4000	LinearSVC	Zeta_orig	0.833954534312403	0.012741401845836811	0.7921637943732509
4000	LinearSVC	Zeta_orig	0.833954534312403	0.012741401845836811	0.8905494505494507
4000	LinearSVC	Zeta_orig	0.833954534312403	0.012741401845836811	0.6541666666666667
4000	LinearSVC	Zeta_log	0.833560283101181	0.013315431798019755	0.6971153846153846
4000	LinearSVC	Zeta_log	0.833560283101181	0.013315431798019755	0.9166548547129695
4000	LinearSVC	Zeta_log	0.833560283101181	0.013315431798019755	0.6473332296687917
4000	LinearSVC	Zeta_log	0.833560283101181	0.013315431798019755	0.9163703598350164
4000	LinearSVC	Zeta_log	0.833560283101181	0.013315431798019755	1.0
4000	LinearSVC	Zeta_log	0.833560283101181	0.013315431798019755	0.8655177493003388
4000	LinearSVC	Zeta_log	0.833560283101181	0.013315431798019755	0.9276162790697674
4000	LinearSVC	Zeta_log	0.833560283101181	0.013315431798019755	0.7677124760642215
4000	LinearSVC	Zeta_log	0.833560283101181	0.013315431798019755	0.9029239766081871
4000	LinearSVC	Zeta_log	0.833560283101181	0.013315431798019755	0.6943585211371336
4000	LinearSVC	RRF	0.9005894925209809	0.006135280108032571	0.8688803746275011
4000	LinearSVC	RRF	0.9005894925209809	0.006135280108032571	1.0
4000	LinearSVC	RRF	0.9005894925209809	0.006135280108032571	0.7776470588235294
4000	LinearSVC	RRF	0.9005894925209809	0.006135280108032571	0.8550891316848763
4000	LinearSVC	RRF	0.9005894925209809	0.006135280108032571	1.0
4000	LinearSVC	RRF	0.9005894925209809	0.006135280108032571	0.8780846063454759
4000	LinearSVC	RRF	0.9005894925209809	0.006135280108032571	0.9274475524475525
4000	LinearSVC	RRF	0.9005894925209809	0.006135280108032571	0.9879448075526507
4000	LinearSVC	RRF	0.9005894925209809	0.006135280108032571	0.9277003484320558
4000	LinearSVC	RRF	0.9005894925209809	0.006135280108032571	0.7831010452961673
4000	LinearSVC	Eta	0.8381351943768947	0.01023892254757975	0.684012539184953
4000	LinearSVC	Eta	0.8381351943768947	0.01023892254757975	0.89272030651341
4000	LinearSVC	Eta	0.8381351943768947	0.01023892254757975	0.6932440657334145
4000	LinearSVC	Eta	0.8381351943768947	0.01023892254757975	0.8170466095542326
4000	LinearSVC	Eta	0.8381351943768947	0.01023892254757975	1.0
